cruiseid,cruise,station,beginlon,beginlat,begindatetime,stratum,LOPHIUS AMERICANUS,LIMULUS POLYPHEMUS,PRIACANTHUS ARENATUS,MENIDIA MENIDIA,OPHIDION HOLBROOKI,MONOLENE SESSILICAUDA,ETMOPTERUS GRACILISPINIS,MACROZOARCES AMERICANUS,AMMODYTES DUBIUS,FOETOREPUS AGASSIZI,MERLUCCIUS ALBIDUS,PARALICHTHYS OBLONGUS,COTTIDAE,UNKNOWN 02,UROPHYCIS SP,ARTEDIELLUS SP,MURAENIDAE,SYMPHURUS SP,CEPHALOPODA,LUMPENUS LUMPRETAEFORMIS,SYNODUS INTERMEDIUS,BREVOORTIA TYRANNUS,ALOSA MEDIOCRIS,LEUCORAJA GARMANI,DIBRANCHUS ATLANTICUS,LIPARIS ATLANTICUS,CANTHIGASTER ROSTRATA,UNKNOWN 08,CLUPEIDAE,HEMITRIPTERUS AMERICANUS,OPHIDION SELENOPS,CHAUNAX STIGMAEUS,HOPLOSTETHUS OCCIDENTALIS,SQUALIDAE,LOPHIUS GASTROPHYSUS,ALOSA PSEUDOHARENGUS,LUMPENUS MACULATUS,PLACOPECTEN MAGELLANICUS,OGCOCEPHALUS CORNIGER,TRACHINOCEPHALUS MYOPS,EQUETUS UMBROSUS,ETRUMEUS TERES,UROPHYCIS REGIA,ANGUILLIFORMES,DIPTURUS LAEVIS,CHAETODON SEDENTARIUS,CENTROPRISTIS OCYURUS,PSEUDOPLEURONECTES AMERICANUS,SEPIOLIDAE,STOMIAS BOA,SPHOEROIDES MACULATUS,MONACANTHUS CILIATUS,ALEPOCEPHALIIDAE,PRIONOTUS CAROLINUS,SQUATINA DUMERIL,PONTINUS LONGISPINIS,ANARHICHAS LUPUS,UROPHYCIS CHESTERI,HIPPOGLOSSUS HIPPOGLOSSUS,UNKNOWN 07,LIMANDA FERRUGINEA,PRIONOTUS ALATUS,SCOMBER SCOMBRUS,MACROURIDAE,ORTHOPRISTIS CHRYSOPTERA,CARCHARHINUS PLUMBEUS,MICROPOGONIAS UNDULATUS,RHIZOPRIONODON TERRAENOVAE,SQUALUS ACANTHIAS,PARASUDIS TRUCULENTA,ZOARCIDAE,OPHIDION GRAYI,SEBASTES FASCIATUS,UROPHYCIS CHUSS,CHIONOECETES OPILIO,LEUCORAJA ERINACEA,CONGRIDAE,BOTHIDAE,GERYON QUINQUEDENS,CENTROPRISTIS STRIATA,TRICHIURUS LEPTURUS,TRIGLOPS MURRAYI,CANCER IRRORATUS,OVALIPES STEPHENSONI,OPHICHTHIDAE,PORICHTHYS PLECTRODON,GALATHEIDAE,LEPOPHIDIUM PROFUNDORUM,LOPHOLATILUS CHAMAELEONTICEPS,GEPHYROBERYX DARWINI,MAJIDAE,ETROPUS MICROSTOMUS,CITHARICHTHYS MACROPS,ANTIMORA ROSTRATA,ARGENTINA SILUS,POMATOMUS SALTATRIX,GLYPTOCEPHALUS CYNOGLOSSUS,UNKNOWN 04,UROPHYCIS TENUIS,ARIOMMA BONDI,GYMNURA MICRURA,STOMATOPODA,SERRANUS PHOEBE,MYCTOPHIDAE,OCTOPODA,OPHIDION MARGINATUM,PRIONOTUS TRIBULUS,LACTOPHRYS POLYGONIA,OCTOPUS VULGARIS,BATHYPOLYPUS ARCTICUS,CALAMUS LEUCOSTEUS,SICYONIA BREVIROSTRIS,POLYMIXIA LOWEI,OGCOCEPHALUS NASUTUS,CANCER BOREALIS,SYNODUS FOETENS,CITHARICHTHYS ARCTIFRONS,MERLUCCIUS BILINEARIS,UNKNOWN 05,PETROMYZON MARINUS,MELANOGRAMMUS AEGLEFINUS,CARCHARIAS TAURUS,LEIOSTOMUS XANTHURUS,DIPLECTRUM FORMOSUM,CITHARICHTHYS CORNUTUS,LAEMONEMA BARBATULUM,PARALEPIDAE,SYNAGROPS SPINOSUS,SCYLIORHINUS RETIFER,ARIOMMA MELANUM,HEMANTHIAS AUREORUBENS,MAUROLICUS WEITZMANI,TORPEDO NOBILIANA,ARGENTINA STRIATA,RAJA EGLANTERIA,CHAETODON AYA,ETROPUS RIMOSUS,BELLATOR EGRETTA,STERNOPTYCHIDAE,PRISTIGENYS ALTA,POLYMETME THAEOCORYLA,SPHOEROIDES NEPHELUS,ALOSA AESTIVALIS,SPHYRNA LEWINI,PRIONOTUS SCITULUS,UNKNOWN 06,SYNGNATHIDAE,UNKNOWN 03,PORTUNIDAE,PEPRILUS TRIACANTHUS,SYNODUS POEYI,SCYLLARIDES NODIFER,GADELLA IMBERBIS,CRUSTACEA SHRIMP,FISTULARIA PETIMBA,ALOSA SAPIDISSIMA,MYOXOCEPHALUS AENAEUS,OVALIPES OCELLATUS,GYMNURA ALTAVELA,STENOTOMUS CHRYSOPS,ILLEX ILLECEBROSUS,DASYATIS CENTROURA,AMBLYRAJA RADIATA,ACANTHOCARPUS ALEXANDRI,SYNAGROPS BELLUS,RHOMBOPLITES AURORUBENS,HELICOLENUS DACTYLOPTERUS,CHAETODON OCELLATUS,BROSME BROSME,HAEMULON AUROLINEATUM,CYCLOPTERUS LUMPUS,HIPPOGLOSSOIDES PLATESSOIDES,UNKNOWN 01,TETRAODONTIDAE,ASPIDOPHOROIDES MONOPTERYGIUS,PRIONOTUS RUBIO,MYOXOCEPHALUS OCTODECEMSPINOSUS,PLEOTICUS ROBUSTUS,CITHARICHTHYS SP,ULVARIA SUBBIFURCATA,CYNOSCION REGALIS,HOMARUS AMERICANUS,ANTIGONIA CAPROS,BEMBROPS GOBIOIDES,CRYPTACANTHODES MACULATUS,MORONE SAXATILIS,BALISTES CAPRISCUS,TRIGLIDAE,SPHOEROIDES DORSALIS,TAUTOGOLABRUS ADSPERSUS,TRASH SPECIES IN CATCH,MENTICIRRHUS SAXATILIS,APOGON PSEUDOMACULATUS,LEUCORAJA OCELLATA,CHAULIODUS SLOANI,LOLLIGUNCULA BREVIS,DASYATIS SAY,MUSTELUS CANIS,SCORPAENA AGASSIZI,LAGODON RHOMBOIDES,PROMETHICHTHYS PROMETHEUS,GADUS MORHUA,MACRORHAMPHOSUS SCOLOPAX,KATHETOSTOMA ALBIGUTTA,LITHODES MAJA,DACTYLOPTERUS VOLITANS,SYNGNATHUS FUSCUS,BOTHUS OCELLATUS,NEZUMIA BAIRDI,MELANOSTIGMA ATLANTICUM,GASTEROSTEUS ACULEATUS,SCORPAENIDAE,SPHOEROIDES SPENGLERI,ZENOPSIS CONCHIFERA,NEMICHTHYS SCOLOPACEUS,REINHARDTIUS HIPPOGLOSSOIDES,ANCHOA MITCHILLI,BATHYNECTES LONGISPINA,MENTICIRRHUS AMERICANUS,LOLIGO PEALEII,POLLACHIUS VIRENS,ALUTERUS SCRIPTUS,HOLOCENTRUS ADSCENSIONIS,CYCLOPSETTA FIMBRIATA,ECHIOPHIS INTERTINCTUS,PRIONOTUS EVOLANS,CLUPEA HARENGUS,HEPATUS EPHELITICUS,ENCHELYOPUS CIMBRIUS,LYCENCHELYS VERRILLI,STOLOTEUTHIS LEUCOPTERA,MALACORAJA SENTA,SELENE SETAPINNIS,SYACIUM PAPILLOSUM,PARALICHTHYS DENTATUS,CYCLOPTERIDAE,CALLINECTES SAPIDUS,SCOMBRIDAE,CHLOROPHTHALMUS AGASSIZI,SCOPHTHALMUS AQUOSUS,MYXINE GLUTINOSA,PAGRUS SEDECIM,OSMERUS MORDAX,SELACHIMORPHA,SERIOLA DUMERILI,PENAEUS SP,PERISTEDION MINIATUM,SYNODONTIDAE
HB200901,200902,1,-71.982333,40.9425,27/02/2009-23:08:00,3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB200901,200902,42,-75.80473,34.939967,08/03/2009-03:28:27,7520,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HB200901,200902,267,-69.464488,41.45531,09/04/2009-14:55:41,1250,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HB200901,200902,250,-70.344553,41.82196,07/04/2009-17:47:00,3590,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
HB200901,200902,357,-67.844877,43.146507,30/04/2009-17:41:01,1360,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,16,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HB200901,200902,229,-68.481775,42.04965,05/04/2009-09:31:22,1240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,10,73,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB200901,200902,100,-73.543043,39.089967,12/03/2009-19:19:05,1730,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,324,0,0,0,0,0,12,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,310,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
HB200901,200902,258,-69.12881,42.42026,08/04/2009-16:23:44,1280,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,89,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HB200901,200902,353,-67.037917,42.881548,30/04/2009-07:27:19,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,5,0,0,0,144,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB200901,200902,36,-74.854428,35.663983,07/03/2009-15:49:11,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
