cruiseid,cruise,station,beginlon,beginlat,begindatetime,stratum,UROPHYCIS CHUSS,COTTIDAE,POLYMETME THAEOCORYLA,SCORPAENIDAE,HEMITRIPTERUS AMERICANUS,CLUPEA HARENGUS,SQUALUS ACANTHIAS,POMATOMUS SALTATRIX,UROPHYCIS REGIA,SYNODUS FOETENS,CENTROPRISTIS STRIATA,LEIOSTOMUS XANTHURUS,HEMANTHIAS AUREORUBENS,PSEUDOPLEURONECTES AMERICANUS,DECAPTERUS PUNCTATUS,NEZUMIA BAIRDI,PAGRUS SEDECIM,ARGENTINA STRIATA,CHLOROPHTHALMUS AGASSIZI,LEUCORAJA GARMANI,CYCLOPTERIDAE,LOLIGO PEALEII,ALOSA SAPIDISSIMA,MACROURIDAE,STOLOTEUTHIS LEUCOPTERA,ANCHOA MITCHILLI,OPHIDIIDAE,ILLEX ILLECEBROSUS,PARALEPIDAE,GADELLA IMBERBIS,ETROPUS MICROSTOMUS,GYMNURA ALTAVELA,SERRANUS ATROBRANCHUS,BELLATOR EGRETTA,SYNODONTIDAE,MYXINE GLUTINOSA,CANCER BOREALIS,LAEMONEMA BARBATULUM,PERISTEDION MINIATUM,PORICHTHYS PLECTRODON,ACIPENSER OXYRHYNCHUS,MAUROLICUS WEITZMANI,ALOSA AESTIVALIS,EPIGONUS PANDIONIS,BRAMA BRAMA,LOPHIUS GASTROPHYSUS,TRASH SPECIES IN CATCH,CANCRIDAE,MICROPOGONIAS UNDULATUS,AMMODYTES DUBIUS,STROMATEIDAE,DASYATIS SAY,CRUSTACEA SHRIMP,MACROZOARCES AMERICANUS,OVALIPES STEPHENSONI,CEPHALOPODA,HIPPOGLOSSOIDES PLATESSOIDES,ANCYLOPSETTA QUADROCELLATA,TRIGLIDAE,PETROMYZON MARINUS,SELACHIMORPHA,LEUCORAJA ERINACEA,TRICHIURUS LEPTURUS,GOBIIDAE,LEUCORAJA OCELLATA,ANTHIAS NICHOLSI,PARALICHTHYS DENTATUS,ANTIGONIA CAPROS,ARGENTINA SILUS,LIMANDA FERRUGINEA,OPHIDION MARGINATUM,CHIONOECETES OPILIO,AMBLYRAJA RADIATA,LEPOPHIDIUM PROFUNDORUM,LIMULUS POLYPHEMUS,STENOTOMUS CHRYSOPS,UNKNOWN 03,POLLACHIUS VIRENS,PRIONOTUS RUBIO,PARASUDIS TRUCULENTA,SYMPHURUS PLAGIUSA,MALACORAJA SENTA,POLYMIXIA LOWEI,OPHICHTHUS PUNCTICEPS,UNKNOWN 01,PENAEUS SP,CITHARICHTHYS SP,PARALICHTHYS SQUAMILENTUS,OCTOPUS VULGARIS,ETMOPTERUS GRACILISPINIS,GERYON QUINQUEDENS,BROSME BROSME,CARCHARIAS TAURUS,CRYPTACANTHODES MACULATUS,PRIONOTUS EVOLANS,DIBRANCHUS ATLANTICUS,LITHODES MAJA,BATHYPOLYPUS ARCTICUS,CANCER IRRORATUS,MORONE SAXATILIS,ULVARIA SUBBIFURCATA,ASPIDOPHOROIDES MONOPTERYGIUS,PRIONOTUS ALATUS,MYOXOCEPHALUS AENAEUS,PLACOPECTEN MAGELLANICUS,OSMERUS MORDAX,MENIDIA MENIDIA,GASTEROSTEUS ACULEATUS,HOMARUS AMERICANUS,UROPHYCIS CHESTERI,ARTEDIELLUS SP,UNKNOWN 02,CITHARICHTHYS ARCTIFRONS,HELICOLENUS DACTYLOPTERUS,MONOLENE SESSILICAUDA,ABRALIA VERANYI,ANCYLOPSETTA DILECTA,DIPTURUS LAEVIS,CHLAMYS ISLANDICA,SYMPHURUS SP,ANARHICHAS LUPUS,STOMIAS BOA,STOMATOPODA,SICYONIA BREVIROSTRIS,HOPLOSTETHUS MEDITERRANEUS,TRACHURUS LATHAMI,LOPHIUS AMERICANUS,LUMPENUS LUMPRETAEFORMIS,SPHOEROIDES MACULATUS,PRIONOTUS CAROLINUS,CAPROIDAE,OPHICHTHIDAE,TORPEDO NOBILIANA,PLEOTICUS ROBUSTUS,MELANOSTIGMA ATLANTICUM,ALOSA PSEUDOHARENGUS,BENTHODESMUS SIMONYI,PRIONOTUS OPHRYAS,MENTICIRRHUS AMERICANUS,ZENOPSIS CONCHIFERA,GADUS MORHUA,ENCHELYOPUS CIMBRIUS,MELANOGRAMMUS AEGLEFINUS,LYCENCHELYS VERRILLI,STERNOPTYCHIDAE,LAGOCEPHALUS LAEVIGATUS,MAJIDAE,UROPHYCIS TENUIS,CYCLOPTERUS LUMPUS,UROPHYCIS SP,MYOXOCEPHALUS OCTODECEMSPINOSUS,PORTUNIDAE,MUSTELUS CANIS,PEPRILUS TRIACANTHUS,MALACOCEPHALUS OCCIDENTALIS,DASYATIS CENTROURA,ANTIMORA ROSTRATA,CONGRIDAE,SCOMBER SCOMBRUS,TAUTOGOLABRUS ADSPERSUS,CYNOSCION REGALIS,MERLUCCIUS ALBIDUS,LIPARIS ATLANTICUS,BOTHIDAE,GLYPTOCEPHALUS CYNOGLOSSUS,HIPPOGLOSSUS HIPPOGLOSSUS,LARIMUS FASCIATUS,HALIEUTICHTHYS ACULEATUS,FOETOREPUS AGASSIZI,NEMICHTHYS SCOLOPACEUS,CENTROPRISTIS OCYURUS,PARALICHTHYS OBLONGUS,TRIGLOPS MURRAYI,SYNGNATHIDAE,OVALIPES OCELLATUS,SEPIOLIDAE,MENTICIRRHUS SAXATILIS,SEBASTES FASCIATUS,SQUATINA DUMERIL,CHAULIODUS DANAE,RAJA EGLANTERIA,SYACIUM PAPILLOSUM,ANTENNARIUS RADIOSUS,GALATHEIDAE,CHAULIODUS SLOANI,SAURIDA NORMANI,RHIZOPRIONODON TERRAENOVAE,SYNAGROPS SPINOSUS,BAIRDIELLA CHRYSOURA,XENOLEPIDICHTHYS DALGLEISHI,ETROPUS SP,SCOPHTHALMUS AQUOSUS,MERLUCCIUS BILINEARIS,SCYLIORHINUS RETIFER,BEMBROPS GOBIOIDES,OPHIDION HOLBROOKI,ACANTHOCARPUS ALEXANDRI,MYCTOPHIDAE,MACRORHAMPHOSUS SCOLOPAX
HB201102,201102,311,-67.55041,43.868138,27/04/2011-12:40:15,1360,22,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,24,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,2,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0
HB201102,201102,72,-74.887865,37.944788,11/03/2011-07:57:27,1690,0,0,0,0,0,25,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,24,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,14,8,0,0,0,0,0,0
HB201102,201102,97,-73.619505,39.026668,13/03/2011-07:10:21,1730,3,0,0,0,0,73,37,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,763,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,194,0,0,0,0,0,0
HB201102,201102,33,-75.23138,35.68437,07/03/2011-11:56:27,3440,0,0,0,0,0,87,5,0,556,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
HB201102,201102,123,-70.567958,40.05095,16/03/2011-00:43:36,1070,0,0,0,0,0,0,4,0,69,0,1,0,0,0,0,0,0,0,0,0,0,838,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,14,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3722,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,1,0,0,0,2,0
HB201102,201102,308,-67.681555,44.35189,27/04/2011-02:37:27,1390,1,0,0,0,2,670,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,0,0,6,0,0,0,2,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,1,11,10,0,0,0,0,11,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,157,0,0,0,0,0,0
HB201102,201102,206,-67.927417,40.982567,07/04/2011-20:02:26,1190,4,0,0,0,0,282,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,37,0,0,17,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,103,0,0,0,0,0,0
HB201102,201102,264,-68.772112,42.147747,21/04/2011-08:42:06,1240,50,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,1,0
HB201102,201102,47,-75.368533,35.093852,08/03/2011-23:04:02,7520,0,0,0,0,0,0,0,0,21,0,0,13,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7051,0,1,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201102,201102,38,-75.786782,34.916015,08/03/2011-01:36:32,7520,0,0,0,0,0,0,0,0,729,0,0,0,0,0,0,0,0,0,0,0,0,1617,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
