cruiseid,cruise,station,beginlon,beginlat,begindatetime,stratum,HOMARUS AMERICANUS,MYCTOPHIDAE,LOPHIUS GASTROPHYSUS,LIMANDA FERRUGINEA,BROSME BROSME,ARGYROPELECUS ACULEATUS,CONGER OCEANICUS,SPIRONTOCARIS LILJEBORGII,ULVARIA SUBBIFURCATA,SEBASTES FASCIATUS,PEPRILUS TRIACANTHUS,MONOLENE SESSILICAUDA,MICROPOGONIAS UNDULATUS,MELANOSTIGMA ATLANTICUM,XENOLEPIDICHTHYS DALGLEISHI,ANCHOA MITCHILLI,MACROZOARCES AMERICANUS,MALACORAJA SENTA,CANCER IRRORATUS,ACIPENSER OXYRHYNCHUS,MENTICIRRHUS AMERICANUS,TORPEDO NOBILIANA,HIPPOGLOSSUS HIPPOGLOSSUS,DIPTURUS LAEVIS,OVALIPES OCELLATUS,MERLUCCIUS ALBIDUS,CYCLOPTERUS LUMPUS,STENOTOMUS CHRYSOPS,OPISTHONEMA OGLINUM,SYNGNATHIDAE,CLUPEA HARENGUS,SCOPHTHALMUS AQUOSUS,AMBLYRAJA RADIATA,PASIPHAEA MULTIDENTATA,TRICHIURUS LEPTURUS,ANCHOA HEPSETUS,OPHICHTHIDAE,STOLOTEUTHIS LEUCOPTERA,PRIACANTHUS ARENATUS,SYMPHURUS SP,PRIONOTUS CAROLINUS,CRYPTACANTHODES MACULATUS,LOLLIGUNCULA BREVIS,PSEUDOPLEURONECTES AMERICANUS,ALOSA SAPIDISSIMA,CAULOLATILUS MICROPS,ALOSA PSEUDOHARENGUS,UROPHYCIS CHUSS,PRIONOTUS TRIBULUS,LITHODES MAJA,CYNOSCION NOTHUS,MACROURIDAE,GERYON QUINQUEDENS,OVALIPES STEPHENSONI,ANTIGONIA CAPROS,CHLOROPHTHALMUS AGASSIZI,PONTOPHILUS NORVEGICUS,POGONIAS CROMIS,RAJA EGLANTERIA,BREVOORTIA TYRANNUS,PLACOPECTEN MAGELLANICUS,HEMITRIPTERUS AMERICANUS,UROPHYCIS CHESTERI,PRIONOTUS ALATUS,CHLOROPHTHALMUS SP,TAUTOGOLABRUS ADSPERSUS,MACRORHAMPHOSUS SCOLOPAX,PROMETHICHTHYS PROMETHEUS,CENTROPRISTIS STRIATA,ARCHOSARGUS PROBATOCEPHALUS,DICHELOPANDALUS LEPTOCERUS,CALLINECTES SAPIDUS,LIMULUS POLYPHEMUS,LEUCORAJA GARMANI,ASTROSCOPUS GUTTATUS,TRASH SPECIES IN CATCH,HELICOLENUS DACTYLOPTERUS,MYOXOCEPHALUS OCTODECEMSPINOSUS,UROPHYCIS TENUIS,POLYMIXIA LOWEI,LEUCORAJA OCELLATA,OPHIDION MARGINATUM,ZENOPSIS CONCHIFERA,GLYPTOCEPHALUS CYNOGLOSSUS,CONGRIDAE,LEIOSTOMUS XANTHURUS,CITHARICHTHYS CORNUTUS,MORONE SAXATILIS,GADUS MORHUA,UROPHYCIS REGIA,CYNOSCION REGALIS,LEBBEUS POLARIS,PERISTEDION GRACILE,OPHIDION GRAYI,PARALICHTHYS OBLONGUS,PANDALUS MONTAGUI,PARALEPIDAE,SYNGNATHUS FUSCUS,SCOMBER SCOMBRUS,PANDALUS PROPINQUUS,SPISULA SOLIDISSIMA,MAUROLICUS WEITZMANI,ILLEX ILLECEBROSUS,SQUATINA DUMERIL,HIPPOGLOSSOIDES PLATESSOIDES,CHIONOECETES OPILIO,PERISTEDION MINIATUM,MYXINE GLUTINOSA,CRUSTACEA SHRIMP,PARASUDIS TRUCULENTA,CHLAMYS ISLANDICA,HEMANTHIAS AUREORUBENS,ARGENTINA SILUS,SCIAENOPS OCELLATUS,LARIMUS FASCIATUS,MERLUCCIUS BILINEARIS,LOPHOLATILUS CHAMAELEONTICEPS,SQUALUS ACANTHIAS,ENCHELYOPUS CIMBRIUS,SCYLIORHINUS RETIFER,MUSTELUS CANIS,MYOXOCEPHALUS AENAEUS,MELANOGRAMMUS AEGLEFINUS,LEPOPHIDIUM PROFUNDORUM,POLLACHIUS VIRENS,AMMODYTES DUBIUS,BAIRDIELLA CHRYSOURA,STERNOPTYCHIDAE,SCORPAENIDAE,BATHYPOLYPUS ARCTICUS,SEPIOLIDAE,ORTHOPRISTIS CHRYSOPTERA,ARCTICA ISLANDICA,ALOSA AESTIVALIS,PRIONOTUS EVOLANS,PARALICHTHYS DENTATUS,LEUCORAJA ERINACEA,CITHARICHTHYS ARCTIFRONS,LOLIGO PEALEII,ANGUILLIFORMES,ASPIDOPHOROIDES MONOPTERYGIUS,GALATHEIDAE,CRANGON SEPTEMSPINOSA,TRIGLOPS MURRAYI,ASTERIAS VULGARIS,ETROPUS SP,TRACHURUS LATHAMI,PANDALUS BOREALIS,STOMATOPODA,MENTICIRRHUS SAXATILIS,CANCER BOREALIS,LABRIDAE,CARCHARIAS TAURUS,PETROMYZON MARINUS,LOPHIUS AMERICANUS,LAGODON RHOMBOIDES,POMATOMUS SALTATRIX,SERRANIDAE,ANARHICHAS LUPUS,MENIDIA MENIDIA
HB201802,201802,279,-70.558895,42.467488,11/05/2018-20:47:16,1260,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201802,201802,207,-70.378268,40.990968,01/05/2018-23:43:45,1090,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,23,0,0,1,1,0,8,63,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,15,0,0,62,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201802,201802,262,-68.46468,43.84917,09/05/2018-19:49:00,1390,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,18,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,27,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,5,0,0,0,0,0,0,428,0,0,3,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,1,0,0,0,7,0,0,0,0,0
HB201802,201802,266,-69.7199,43.14627,10/05/2018-14:51:24,1370,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,496,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,11,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,51,0,0,0,1,0,0,0,0,0,0,832,0,0,0,0,0,0,48,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,2,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,29,0,0,0,0,0
HB201802,201802,265,-69.829688,43.574175,10/05/2018-10:11:14,1400,61,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,5,0,7,8,0,517,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3256,0,0,0,0,0,0,1,6,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,96,0,0,0,8,0,0,0,0,0,0,1289,0,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,46,0,0,0,0,0,0,0,0,8,0,0,0,0,566,0,0,1,0,0,0,8,0,0,0,0,0
HB201802,201802,36,-74.819585,36.092745,18/03/2018-04:11:24,1620,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,54,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,44,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HB201802,201802,158,-71.016753,40.06006,19/04/2018-07:20:03,1080,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,2,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
HB201802,201802,125,-72.941852,38.989587,03/04/2018-09:45:22,1740,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,695,0,0,0,0,0,0,0,0,0,0,0,0,1785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,44,0,39,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47,7,1,5,80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201802,201802,225,-67.032407,41.477068,04/05/2018-07:18:08,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,72,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,204,0,1,0,0,0,0,0,0,0,0,0,0,0,56,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201802,201802,145,-70.257403,41.911418,16/04/2018-03:59:17,3600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,8,0,7,0,0,156,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,67,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
