cruiseid,cruise,station,beginlon,beginlat,begindatetime,stratum,CANCER BOREALIS,SYMPHURUS SP,RACHYCENTRON CANADUM,UROPHYCIS TENUIS,PLACOPECTEN MAGELLANICUS,POLYMIXIA LOWEI,PRIONOTUS ALATUS,ETROPUS SP,POLLACHIUS VIRENS,ACANTHOCARPUS ALEXANDRI,SCYLIORHINUS RETIFER,OGCOCEPHALIDAE,TAUTOGOLABRUS ADSPERSUS,MACRORHAMPHOSUS SCOLOPAX,MELANOSTIGMA ATLANTICUM,PEPRILUS TRIACANTHUS,SQUATINA DUMERIL,PAGRUS SEDECIM,PARALICHTHYS SP,MENTICIRRHUS AMERICANUS,TRICHIURUS LEPTURUS,SYNODONTIDAE,HIPPOGLOSSUS HIPPOGLOSSUS,LIMANDA FERRUGINEA,ANTHIAS NICHOLSI,PSEUDOPLEURONECTES AMERICANUS,BATHYPOLYPUS ARCTICUS,CHIONOECETES OPILIO,ARIOMMA BONDI,BROSME BROSME,GOBIIDAE,HOMARUS AMERICANUS,LUTJANUS CAMPECHANUS,PRISTIGENYS ALTA,MACROZOARCES AMERICANUS,MALACORAJA SENTA,SPISULA SOLIDISSIMA,ENCHELYOPUS CIMBRIUS,LOLIGO PEALEII,SQUALUS ACANTHIAS,MERLUCCIUS BILINEARIS,CARCHARIAS TAURUS,MONACANTHUS HISPIDUS,CALAPPIDAE,HAEMULON AUROLINEATUM,MYOXOCEPHALUS AENAEUS,ANCHOA HEPSETUS,ALUTERUS MONOCEROS,STOMATOPODA,CANCER IRRORATUS,CENTROPRISTIS STRIATA,SPHOEROIDES SPENGLERI,UROPHYCIS FLORIDANA,FISTULARIA PETIMBA,CHLAMYS ISLANDICA,LOPHIUS AMERICANUS,GADUS MORHUA,MORIDAE,HIPPOGLOSSOIDES PLATESSOIDES,SPHOEROIDES DORSALIS,BATHYNECTES LONGISPINA,MYXINE GLUTINOSA,TORPEDO NOBILIANA,HEMIPTERONOTUS NOVACULA,OGCOCEPHALUS CORNIGER,ZENOPSIS CONCHIFERA,ANCYLOPSETTA QUADROCELLATA,PETROMYZON MARINUS,AMBLYRAJA RADIATA,OVALIPES OCELLATUS,OPHIDION HOLBROOKI,PHOLIS GUNNELLUS,RHOMBOPLITES AURORUBENS,ASPIDOPHOROIDES MONOPTERYGIUS,MERLUCCIUS ALBIDUS,AMMODYTES DUBIUS,ARIOMMA MELANUM,CALLINECTES SAPIDUS,OPHIDION MARGINATUM,ASTROSCOPUS Y-GRAECUM,UROPHYCIS CHESTERI,ARCTICA ISLANDICA,GYMNURA MICRURA,CYNOSCION NOTHUS,SCOMBER SCOMBRUS,CITHARICHTHYS MACROPS,SCOMBER JAPONICUS,CRUSTACEA SHRIMP,LEPOPHIDIUM PROFUNDORUM,DASYATIS SAY,DIPTURUS LAEVIS,PRIONOTUS EVOLANS,ALOSA SAPIDISSIMA,PARASUDIS TRUCULENTA,HEMITRIPTERUS AMERICANUS,LEUCORAJA OCELLATA,GERYON QUINQUEDENS,ACIPENSER OXYRHYNCHUS,LOPHOLATILUS CHAMAELEONTICEPS,MONOLENE SESSILICAUDA,SEPIOLIDAE,TRASH SPECIES IN CATCH,SYNGNATHIDAE,TAUTOGA ONITIS,SERRANUS PHOEBE,ILLEX ILLECEBROSUS,SPHOEROIDES MACULATUS,CITHARICHTHYS GYMNORHINUS,RAJA EGLANTERIA,PRIONOTUS CAROLINUS,STENOTOMUS CHRYSOPS,OVALIPES STEPHENSONI,MENIDIA MENIDIA,CYCLOPSETTA FIMBRIATA,COOKEOLUS JAPONICUS,CYTTOPSIS ROSEA,MACROURIDAE,CLUPEA HARENGUS,CITHARICHTHYS CORNUTUS,ANARHICHAS LUPUS,POMATOMUS SALTATRIX,PARALEPIDAE,LIMULUS POLYPHEMUS,NEMICHTHYS SCOLOPACEUS,CYCLOPTERUS LUMPUS,CHLOROPHTHALMUS AGASSIZI,ANTIGONIA CAPROS,ORTHOPRISTIS CHRYSOPTERA,ECHENEIS NAUCRATES,STOLOTEUTHIS LEUCOPTERA,GALATHEIDAE,SCOPHTHALMUS AQUOSUS,OPHICHTHIDAE,ZOARCIDAE,LAGODON RHOMBOIDES,LEIOSTOMUS XANTHURUS,PRIONOTUS RUBIO,MAUROLICUS WEITZMANI,MYOXOCEPHALUS OCTODECEMSPINOSUS,ETROPUS MICROSTOMUS,ALOSA PSEUDOHARENGUS,BREVOORTIA TYRANNUS,CITHARICHTHYS ARCTIFRONS,PRIONOTUS STEARNSI,TRACHINOCEPHALUS MYOPS,LITHODES MAJA,CAULOLATILUS MICROPS,SERRANUS ATROBRANCHUS,MORONE SAXATILIS,MYCTOPHIDAE,CARETTA CARETTA,PARALICHTHYS OBLONGUS,SCORPAENIDAE,APOGONIDAE,TRACHURUS LATHAMI,OCTOPODA,DECAPTERUS PUNCTATUS,SYNODUS FOETENS,FISTULARIA SP,HALIEUTICHTHYS ACULEATUS,MELANOGRAMMUS AEGLEFINUS,GLYPTOCEPHALUS CYNOGLOSSUS,MICROPOGONIAS UNDULATUS,PARALICHTHYS DENTATUS,CYNOSCION REGALIS,POECILOPSETTA BEANI,CRYPTACANTHODES MACULATUS,CHAETODIPTERUS FABER,UROPHYCIS CHUSS,CONGER OCEANICUS,DASYATIS CENTROURA,LEUCORAJA ERINACEA,UROPHYCIS REGIA,SEBASTES FASCIATUS,PORTUNIDAE,ALOSA AESTIVALIS,ANCHOA MITCHILLI,STOMIIDAE,TRICHIURIDAE,ULVARIA SUBBIFURCATA,LEUCORAJA GARMANI,LYCENCHELYS VERRILLI,MENTICIRRHUS SAXATILIS,MUSTELUS CANIS,DASYATIS AMERICANA,SQUALIDAE,SCARIDAE,LUMPENUS LUMPRETAEFORMIS,CONGRIDAE,TRIGLOPS MURRAYI,CITHARICHTHYS SP,HELICOLENUS DACTYLOPTERUS,GYMNURA ALTAVELA,DECAPTERUS MACARELLUS
HB201901,201902,152,-73.671695,40.334487,30/03/2019-08:48:00,3140,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,442,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,298,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201901,201902,382,-70.661167,42.7375,10/05/2019-17:48:23,3650,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,43,0,0,0,0,0,33,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201901,201902,103,-71.82076,39.830915,20/03/2019-07:09:17,1040,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,1,95,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,178,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
HB201901,201902,295,-67.022623,42.156133,23/04/2019-16:27:50,1210,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,2,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,26,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201901,201902,58,-75.598603,37.099468,16/03/2019-00:16:35,3380,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43,0,0,0,0,0,0,0,3,7,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201901,201902,153,-73.645398,40.44659,30/03/2019-10:16:17,3110,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,151,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201901,201902,209,-69.094863,40.67879,13/04/2019-02:35:05,1100,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201901,201902,194,-70.247002,41.188648,04/04/2019-21:16:51,3460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201901,201902,329,-68.354333,43.167333,03/05/2019-23:48:53,1360,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,6,0,3,0,2,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,77,0,0,0,0,0,0,113,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201901,201902,128,-74.338172,38.780583,28/03/2019-14:46:00,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,34,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,53,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
