non_sp,level
Anguilliformes,Order
Lophiiformes,Order
Pleuronectiformes,Order
Cephalopoda,Class
Octopoda,Order
Stomatopoda,Order
Alepocephaliidae,Family
Apogonidae,Family
Balistidae,Family
Blenniidae,Family
Bothidae,Family
Calappidae,Family
Cancridae,Family
Caproidae,Family
Carcharhinidae,Family
Clupeidae,Family
Congridae,Family
Cottidae,Family
Cyclopteridae,Family
Gadidae,Family
Galatheidae,Family
Gobiidae,Family
Holocentridae,Family
Labridae,Family
Lutjanidae,Family
Macrouridae,Family
Majidae,Family
Moridae,Family
Muraenidae,Family
Myctophidae,Family
Ogcocephalidae,Family
Ophichthidae,Family
Ophidiidae,Family
Paralepidae,Family
Pleuronectidae,Family
Pomacentridae,Family
Portunidae,Family
Scaridae,Family
Sciaenidae,Family
Scombridae,Family
Scorpaenidae,Family
Sepiolidae,Family
Serranidae,Family
Squalidae,Family
Sternoptychidae,Family
Stomiidae,Family
Stromateidae,Family
Syngnathidae,Family
Synodontidae,Family
Tetraodontidae,Family
Trichiuridae,Family
Triglidae,Family
Uranoscopidae,Family
Zoarcidae,Family
Artediellus sp,Genus
Chlorophthalmus sp,Genus
Citharichthys sp,Genus
Etropus sp,Genus
Fistularia sp,Genus
Ovalipes sp,Genus
Paralichthys sp,Genus
Penaeus sp,Genus
Sphyraena sp,Genus
Symphurus sp,Genus
Urophycis sp,Genus
Trash species in catch, 
Crustacea shrimp, 
Selachimorpha, 
Stelleroidea, 
