BTS_sp,level,Com_name,DB_sp,Status,Genus,Subfamily,Family,Order,Class,SuperClass,Phylum,Kingdom,type
Alepocephaliidae,Family,Smelts,Alepocephalidae,misspelling,NA,NA,Alepocephalidae,Osmeriformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Anguilliformes,Order,Eels,Anguilliformes,,NA,NA,NA,Anguilliformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Apogonidae,Family,Cardinalfishes,Apogonidae,,NA,NA,Apogonidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Artediellus,Genus,Sculpins,Artediellus,,Artediellus,NA,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Balistidae,Family,Triggerfish,Balistidae,,NA,NA,Balistidae,Tetraodontiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Blenniidae,Family,Combtooth blenny,Blenniidae,,NA,NA,Blenniidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Bothidae,Family,Lefteye flounders,Bothidae,,NA,NA,Bothidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Calappidae,Family,Crabs,Calappidae,,NA,NA,Calappidae,Decapoda,Malacostraca,NA,Arthropoda,Animalia,not_fish
Cancridae,Family,Crabs,Cancridae,,NA,NA,Cancridae,Decapoda,Malacostraca,NA,Arthropoda,Animalia,not_fish
Caproidae,Family,Boarfishes,Caproidae,,NA,NA,Caproidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Carcharhinidae,Family,Requiem sharks,Carcharhinidae,,NA,NA,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes,Chordata,Animalia,fish
Cephalopoda,Class,"Squid, octopus, cuttlefish, nautilus",Cephalopoda,,NA,NA,NA,NA,Cephalopoda,NA,Mollusca,Animalia,not_fish
Chlorophthalmus,Genus,Greeneyes,Chlorophthalmus,,Chlorophthalmus,NA,Chlorophthalmus,Aulopiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Citharichthys,Genus,Large-toothed flounders,Citharichthys,,Citharichthys,NA,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Clupeidae,Family,"Herrings, shads, sardines, menhadens",Clupeidae,,NA,NA,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Congridae,Family,Conger and garden eels,Congridae,,NA,NA,Congridae,Anguilliformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Cottidae,Family,Sculpins,Cottidae,,NA,NA,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Crustacea shrimp,Order,Shrimp,Decapoda,common_name,NA,NA,NA,Decapoda,Malacostraca,NA,Arthropoda,Animalia,not_fish
Cyclopteridae,Family,Lumpfish,Cyclopteridae,,NA,NA,Cyclopteridae,Scorpaeniformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Etropus,Genus,Large-toothed flounders,Etropus,,Etropus,NA,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Fistularia,Genus,Cornetfishes,Fistularia,,Fistularia,NA,Fistulariidae,Syngnathiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Gadidae,Family,Cods,Gadidae,,NA,NA,Gadidae,Gadiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Galatheidae,Family,Squat lobsters,Galatheidae,,NA,NA,Galatheidae,Decapoda,Malacostraca,NA,Arthropoda,Animalia,not_fish
Gobiidae,Family,True gobies,Gobiidae,,NA,NA,Gobiidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Holocentridae,Family,"Squirrelfish, soldierfish ",Holocentridae,,NA,NA,Holocentridae,Beryciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Labridae,Family,Wrasses,Labridae,,NA,NA,Labridae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Lophiiformes,Order,Anglerfish,Lophiiformes,,NA,NA,NA,Lophiiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Lutjanidae,Family,Snappers,Lutjanidae,,NA,NA,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Macrouridae,Family,Deep sea Gadiformes,Macrouridae,,NA,NA,Macrouridae,Gadiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Majidae,Family,Crabs,Majidae,,NA,NA,Majidae,Decapoda,Malacostraca,NA,Arthropoda,Animalia,not_fish
Moridae,Family,"Codlings, hakelings, moras",Moridae,,NA,NA,Moridae,Gadiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Muraenidae,Family,Moray eels,Muraenidae,,NA,NA,Muraenidae,Anguilliformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Myctophidae,Family,Lanternfish,Myctophidae,,NA,NA,Myctophidae,Myctophiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Octopoda,Order,Octopus,Octopoda,,NA,NA,NA,Octopoda,Cephalopoda,NA,Mollusca,Animalia,not_fish
Ogcocephalidae,Family,"Deep sea anglerfish, batfishes, seabats",Ogcocephalidae,,NA,NA,Ogcocephalidae,Lophiiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Ophichthidae,Family,Snake eels,Ophichthidae,,NA,NA,Ophichthidae,Anguilliformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Ophidiidae,Family,Cusk-eels,Ophidiidae,,NA,NA,Ophidiidae,Ophidiiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Ovalipes,Genus,Crabs,Ovalipes,,Ovalipes,NA,Portunidae,Decapoda,Malacostraca,NA,Arthropoda,Animalia,not_fish
Paralepidae,Family,Barracudina,Paralepididae,synonym,NA,NA,Paralepidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Paralichthys,Genus,Large-toothed flounders,Paralichthys,,Paralichthys,NA,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Penaeus,Genus,Prawns,Penaeus,,Penaeus,NA,Penaeidae,Decapoda,Malacostraca,NA,Arthropoda,Animalia,not_fish
